slug,course_name,wikipedia_url,image_url,author,license,date_sourced,status
pine-valley,Pine Valley Golf Club,https://www.pinevalleygolfclub.com/,,,,2026-04-30,icon_rejected
cypress-point,Cypress Point Club,https://en.wikipedia.org/wiki/Cypress_Point_Club,https://commons.wikimedia.org/wiki/File:View_From_Clubhouse_to_16_-_Flickr_-_schnaars.jpg,"schnaars from San Jose, CA",CC BY-SA 2.0,2026-04-30,sourced
pebble-beach,Pebble Beach Golf Links,https://en.wikipedia.org/wiki/Pebble_Beach_Golf_Links,"https://commons.wikimedia.org/wiki/File:Pebble_Beach_Golf_Links,_hole_7.jpg",Metallion,CC BY-SA 3.0,2026-04-30,sourced
shinnecock-hills,Shinnecock Hills Golf Club,https://en.wikipedia.org/wiki/Shinnecock_Hills_Golf_Club,https://commons.wikimedia.org/wiki/File:Shinnecock_Hills_GC_01.jpg,Peetlesnumber1,CC BY-SA 4.0,2026-04-30,sourced
oakmont,Oakmont Country Club,https://en.wikipedia.org/wiki/Oakmont_Country_Club,https://commons.wikimedia.org/wiki/File:OakmontCountryClub.jpg,Lee Paxton,CC BY-SA 4.0,2026-04-30,sourced
national-golf-links,National Golf Links of America,https://en.wikipedia.org/wiki/National_Golf_Links_of_America,https://commons.wikimedia.org/wiki/File:National-golf.jpg,Americasroof at en.wikipedia,CC BY-SA 3.0,2026-04-30,sourced
bandon-dunes,Bandon Dunes Resort,https://en.wikipedia.org/wiki/Bandon_Dunes_Golf_Resort,https://commons.wikimedia.org/wiki/File:View_of_lodge_and_clubhouse_from_18th_fairway_-_Bandon_Dunes.jpg,Mwlloyd1216,CC BY-SA 4.0,2026-04-30,sourced
chicago-golf-club,Chicago Golf Club,https://en.wikipedia.org/wiki/Chicago_Golf_Club,https://commons.wikimedia.org/wiki/File:Wheaton_chicagogolf.jpg,USGS,Public domain,2026-04-30,sourced
winged-foot-west,Winged Foot Golf Club (West),https://en.wikipedia.org/wiki/Winged_Foot_Golf_Club,https://commons.wikimedia.org/wiki/File:Winged_Foot_Golf_Club_main_entrance.jpg,,CC BY-SA 3.0,2026-04-30,sourced
seminole,Seminole Golf Club,https://www.seminolegolfclub.com/,https://www.seminolegolfclub.com/apple-touch-icon.png,,Trademark of Seminole Golf Club,2026-04-30,favicon_scraped
los-angeles-cc-north,Los Angeles Country Club (North),https://www.thelacc.org/?p=home&e=6&gotofile=%2ffiles%2fNorthCourse_Commemorative_Edition.pdf,https://www.thelacc.org/apple-touch-icon.png,,Trademark of Los Angeles Country Club (North),2026-04-30,favicon_scraped
olympic-club-lake,The Olympic Club (Lake),https://en.wikipedia.org/wiki/Olympic_Club,"https://commons.wikimedia.org/wiki/File:Nahl_Bros._1855,_The_Olympic_Club.jpg",Hugo Wilhelm Arthur Nahl / Charles Christian Nahl,Public domain,2026-04-30,sourced
bethpage-black,Bethpage State Park (Black),https://en.wikipedia.org/wiki/Bethpage_State_Park,https://commons.wikimedia.org/wiki/File:Bethpage-golf1.jpg,Americasroof,CC BY-SA 3.0,2026-04-30,sourced
pinehurst-no-2,Pinehurst No. 2,https://en.wikipedia.org/wiki/Pinehurst_Resort,https://commons.wikimedia.org/wiki/File:Pinehurst_No._4_(4599083949).jpg,"Dan Perry from Atlanta, USA",CC BY 2.0,2026-04-30,sourced
whistling-straits,Whistling Straits (Straits),https://en.wikipedia.org/wiki/Whistling_Straits,https://commons.wikimedia.org/wiki/File:WhistlingStraitsClubhouse.JPG,User:KevinTR,Public domain,2026-04-30,sourced
kiawah-ocean,Kiawah Island Golf Resort (Ocean),https://en.wikipedia.org/wiki/Kiawah_Island_Golf_Resort,https://commons.wikimedia.org/wiki/File:Cougar_Point_Golf_Course_clubhouse.jpg,Seasider53,CC BY 4.0,2026-04-30,sourced
harbour-town,Harbour Town Golf Links,https://en.wikipedia.org/wiki/Harbour_Town_Golf_Links,"https://commons.wikimedia.org/wiki/File:Harbour_Town_Golf,_Hilton_Head,_South_Carolina_-_5111121625.jpg",danperry.com,CC BY 2.0,2026-04-30,sourced
inverness,Inverness Club,https://en.wikipedia.org/wiki/Inverness_Club,https://commons.wikimedia.org/wiki/File:Inverness_Club_from_Dorr.jpg,Nyttend,Public domain,2026-04-30,sourced
crystal-downs,Crystal Downs Country Club,"https://en.wikipedia.org/wiki/Crystal_Downs_Country_Club,_Michigan",https://commons.wikimedia.org/wiki/File:9th_Green_at_Crystal_Downs.JPG,Matthewwlloyd,CC BY 3.0,2026-04-30,sourced
prairie-dunes,Prairie Dunes Country Club,https://en.wikipedia.org/wiki/Prairie_Dunes_Country_Club,,,,2026-04-30,no_candidate_images
quaker-ridge,Quaker Ridge Golf Club,https://en.wikipedia.org/wiki/Quaker_Ridge_Golf_Club,https://commons.wikimedia.org/wiki/File:ScarsdaleNY_QuakerRidgeGolfClub1.jpg,Magicpiano,CC BY-SA 4.0,2026-04-30,sourced
castle-pines,Castle Pines Golf Club,"https://en.wikipedia.org/wiki/Castle_Pines_Village,_Colorado","https://commons.wikimedia.org/wiki/File:Castle_Pines_Village,_Colorado.JPG",Jeffrey Beall,CC BY 4.0,2026-04-30,sourced
somerset-hills,Somerset Hills Country Club,https://en.wikipedia.org/wiki/Somerset_Hills,https://commons.wikimedia.org/wiki/File:Map_Somerset_Hills.jpg,Brooksbetz,CC BY-SA 4.0,2026-04-30,sourced
friars-head,Friar's Head,https://en.wikipedia.org/wiki/List_of_golf_courses_designed_by_Coore_%26_Crenshaw,,,,2026-04-30,no_candidate_images
turnberry-ailsa,Trump Turnberry (Ailsa),https://en.wikipedia.org/wiki/Trump_Turnberry,https://commons.wikimedia.org/wiki/File:Trump_Turnberry_Golf_Course_-_geograph.org.uk_-_5177081.jpg,Billy McCrorie,CC BY-SA 2.0,2026-04-30,sourced
cruden-bay,Cruden Bay Golf Club,https://en.wikipedia.org/wiki/Cruden_Bay,https://commons.wikimedia.org/wiki/File:View_of_Cruden_Bay_from_the_estuary..jpg,Mikey Shepherd,CC BY-SA 4.0,2026-04-30,sourced
machrihanish,Machrihanish Golf Club,https://en.wikipedia.org/wiki/Machrihanish_Golf_Club,https://commons.wikimedia.org/wiki/File:The_Machrihanish_Golf_Club-geograph-3262206-by-Rude-Health-.jpg,Rude Health,CC BY-SA 2.0,2026-04-30,sourced
machrihanish-dunes,Machrihanish Dunes,https://en.wikipedia.org/wiki/List_of_links_golf_courses,https://commons.wikimedia.org/wiki/File:OldHeadGolfLinks18thHole.jpg,tiarescott,CC BY 2.0,2026-04-30,sourced
castle-stuart,Castle Stuart Golf Links,https://en.wikipedia.org/wiki/Castle_Stuart,https://commons.wikimedia.org/wiki/File:Castle_Stuart.jpg,"dave conner from Inverness, Scotland",CC BY 2.0,2026-04-30,sourced
royal-county-down,Royal County Down Golf Club (Championship),https://en.wikipedia.org/wiki/Royal_County_Down_Golf_Club,https://commons.wikimedia.org/wiki/File:The_Royal_County_Down_Golf_Club_viewed_from_Donard_Wood_-_geograph.org.uk_-_6145368.jpg,Eric Jones,CC BY-SA 2.0,2026-04-30,sourced
portmarnock,Portmarnock Golf Club,https://en.wikipedia.org/wiki/Portmarnock_Golf_Club,https://commons.wikimedia.org/wiki/File:Aerial_View_of_Portmarnock_Golf_Club_and_peninsula.jpg,PGC,CC0,2026-04-30,sourced
sunningdale-old,Sunningdale Golf Club (Old),https://en.wikipedia.org/wiki/Sunningdale_Golf_Club,https://commons.wikimedia.org/wiki/File:Sunningdale_GC_-_10th_fairway_as_seen_from_the_green.jpg,Wojciech Migda,CC BY-SA 3.0,2026-04-30,sourced
royal-liverpool,Royal Liverpool Golf Club,https://en.wikipedia.org/wiki/Royal_Liverpool_Golf_Club,https://commons.wikimedia.org/wiki/File:Clubhouse_of_the_Royal_Liverpool_from_Stanley_Road.jpg,Rodhullandemu,CC BY-SA 4.0,2026-04-30,sourced
swinley-forest,Swinley Forest Golf Club,https://en.wikipedia.org/wiki/Swinley_Forest_Golf_Club,"https://commons.wikimedia.org/wiki/File:Bodens_Ride,_South_Ascot_-_geograph.org.uk_-_1771606.jpg",don cload,CC BY-SA 2.0,2026-04-30,sourced
walton-heath-old,Walton Heath Golf Club (Old),https://en.wikipedia.org/wiki/Walton_Heath_Golf_Club,,,,2026-04-30,no_candidate_images
