slug,course_name,wikipedia_url,image_url,author,license,date_sourced,status
pine-valley,Pine Valley Golf Club,,,,,2026-04-30,no_website_found
cypress-point,Cypress Point Club,,,,,2026-04-30,no_website_found
pebble-beach,Pebble Beach Golf Links,,,,,2026-04-30,no_website_found
shinnecock-hills,Shinnecock Hills Golf Club,https://www.shinnecockhillsgolfclub.org/,,,,2026-04-30,icon_rejected
oakmont,Oakmont Country Club,https://oakmontgc.com/,https://oakmontgc.com/wp-content/uploads/2025/10/%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B1%D0%B5%D0%B7-%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-2025-10-03T093155.654-300x300.png,,Trademark of Oakmont Country Club,2026-04-30,favicon_scraped
national-golf-links,National Golf Links of America,,,,,2026-04-30,no_website_found
bandon-dunes,Bandon Dunes Resort,https://bandon.com/,https://bandon.com/wp-content/smush-webp/2023/11/cropped-ic-180x180.png.webp,,Trademark of Bandon Dunes Resort,2026-04-30,favicon_scraped
chicago-golf-club,Chicago Golf Club,https://www.chicagogolf.com/,https://www.chicagogolf.com/favicon-180.png,,Trademark of Chicago Golf Club,2026-04-30,favicon_scraped
winged-foot-west,Winged Foot Golf Club (West),,,,,2026-04-30,no_website_found
seminole,Seminole Golf Club,https://www.seminolegolfclub.com/,https://www.seminolegolfclub.com/apple-touch-icon.png,,Trademark of Seminole Golf Club,2026-04-30,favicon_scraped
los-angeles-cc-north,Los Angeles Country Club (North),,,,,2026-04-30,no_website_found
olympic-club-lake,The Olympic Club (Lake),https://www.olyclub.com/,https://www.olyclub.com/wp-content/uploads/2025/11/oc_logo_square-300x300.jpg,,Trademark of The Olympic Club (Lake),2026-04-30,favicon_scraped
bethpage-black,Bethpage State Park (Black),,,,,2026-04-30,no_website_found
pinehurst-no-2,Pinehurst No. 2,https://www.pinehurst.com/,https://cdn-ilbbpdb.nitrocdn.com/ZPvHxDAnfjiOCTRKZzZlFwdZrjJUwSbC/assets/images/source/rev-5274926/www.pinehurst.com/wp-content/uploads/2022/11/PB_1895_Logo_White.svg,,Trademark of Pinehurst No. 2,2026-04-30,favicon_scraped
whistling-straits,Whistling Straits (Straits),,,,,2026-04-30,no_website_found
kiawah-ocean,Kiawah Island Golf Resort (Ocean),https://kiawahresort.com/,https://kiawahresort.com/wp-content/uploads/2018/08/hero-home.jpg,,Trademark of Kiawah Island Golf Resort (Ocean),2026-04-30,favicon_scraped
harbour-town,Harbour Town Golf Links,https://www.seapines.com/golf/courses/harbour-town-golf-links,,,,2026-04-30,icon_rejected
inverness,Inverness Club,https://invernessclub.com/,,,,2026-04-30,icon_rejected
crystal-downs,Crystal Downs Country Club,https://www.crystaldowns.org/,https://www.crystaldowns.org/bookmarks/apple-touch-icon.png,,Trademark of Crystal Downs Country Club,2026-04-30,favicon_scraped
prairie-dunes,Prairie Dunes Country Club,https://www.prairiedunes.com/,https://www.prairiedunes.com/favicon.ico,,Trademark of Prairie Dunes Country Club,2026-04-30,favicon_scraped
quaker-ridge,Quaker Ridge Golf Club,https://quakerridgegc.org/,https://cdn.sanity.io/images/ptzhy5g2/production/7c477d2accd6fdeb271f6e9f60d70ecc68585051-1440x450.jpg?w=1200&fit=clip&auto=format,,Trademark of Quaker Ridge Golf Club,2026-04-30,favicon_scraped
castle-pines,Castle Pines Golf Club,,,,,2026-04-30,no_website_found
somerset-hills,Somerset Hills Country Club,,,,,2026-04-30,no_website_found
friars-head,Friar's Head,,,,,2026-04-30,no_website_found
turnberry-ailsa,Trump Turnberry (Ailsa),,,,,2026-04-30,no_website_found
cruden-bay,Cruden Bay Golf Club,https://www.crudenchurch.org.uk/brief_history.htm,,,,2026-04-30,icon_rejected
machrihanish,Machrihanish Golf Club,https://www.machrihanish.net/,https://www.machrihanish.net/wp-content/uploads/favicon.ico,,Trademark of Machrihanish Golf Club,2026-04-30,favicon_scraped
machrihanish-dunes,Machrihanish Dunes,https://machrihanishdunes.com/,,,,2026-04-30,icon_rejected
castle-stuart,Castle Stuart Golf Links,,,,,2026-04-30,no_website_found
royal-county-down,Royal County Down Golf Club (Championship),https://www.royalcountydowngolfclub.com/,http://static1.squarespace.com/static/64d13f249b5d3768d06aa30e/t/64d145717ad5f25f81ecc9c1/1691436401678/RCDGC-white-nobg-small.png?format=1500w,,Trademark of Royal County Down Golf Club (Championship),2026-04-30,favicon_scraped
portmarnock,Portmarnock Golf Club,https://www.portmarnock.com/,https://www.portmarnock.com/wp-content/uploads/2023/12/DJI_0999-2.jpg,,Trademark of Portmarnock Golf Club,2026-04-30,favicon_scraped
sunningdale-old,Sunningdale Golf Club (Old),https://www.sunningdalegolf.com/,https://www.sunningdalegolf.com/favicon.ico,,Trademark of Sunningdale Golf Club (Old),2026-04-30,favicon_scraped
