SLUG	COURSE NAME	HAVE LOGO?
augusta-national	Augusta National Golf Club	NO
pine-valley	Pine Valley Golf Club	NO
cypress-point	Cypress Point Club	NO
pebble-beach	Pebble Beach Golf Links	NO
shinnecock-hills	Shinnecock Hills Golf Club	NO
oakmont	Oakmont Country Club	YES
merion-east	Merion Golf Club (East)	YES
national-golf-links	National Golf Links of America	NO
fishers-island	Fishers Island Club	YES
sand-hills	Sand Hills Golf Club	NO
bandon-dunes	Bandon Dunes Resort	YES
chicago-golf-club	Chicago Golf Club	YES
winged-foot-west	Winged Foot Golf Club (West)	NO
seminole	Seminole Golf Club	YES
los-angeles-cc-north	Los Angeles Country Club (North)	NO
riviera	The Riviera Country Club	YES
oakland-hills-south	Oakland Hills Country Club (South)	YES
olympic-club-lake	The Olympic Club (Lake)	YES
san-francisco-gc	San Francisco Golf Club	YES
baltusrol-lower	Baltusrol Golf Club (Lower)	YES
bethpage-black	Bethpage State Park (Black)	NO
pinehurst-no-2	Pinehurst No. 2	YES
whistling-straits	Whistling Straits (Straits)	NO
erin-hills	Erin Hills	YES
tpc-sawgrass	TPC Sawgrass (Stadium)	YES
kiawah-ocean	Kiawah Island Golf Resort (Ocean)	YES
harbour-town	Harbour Town Golf Links	NO
tobacco-road	Tobacco Road Golf Club	YES
streamsong-blue	Streamsong Resort	YES
cabot-citrus-farms	Cabot Citrus Farms	YES
inverness	Inverness Club	NO
crystal-downs	Crystal Downs Country Club	YES
prairie-dunes	Prairie Dunes Country Club	YES
oak-hill-east	Oak Hill Country Club (East)	YES
medinah-3	Medinah Country Club (No. 3)	YES
quaker-ridge	Quaker Ridge Golf Club	YES
wade-hampton	Wade Hampton Golf Club	NO
east-lake	East Lake Golf Club	YES
whispering-pines	Whispering Pines Golf Club	NO
castle-pines	Castle Pines Golf Club	NO
shadow-creek	Shadow Creek	NO
friars-head	Friar	NO
somerset-hills	Somerset Hills Country Club	NO
maidstone	Maidstone Club	YES
st-andrews-old	The Old Course at St Andrews	YES
muirfield	Muirfield (The Honourable Company of Edinburgh Golfers)	YES
royal-dornoch	Royal Dornoch Golf Club (Championship)	YES
turnberry-ailsa	Trump Turnberry (Ailsa)	NO
carnoustie	Carnoustie Golf Links (Championship)	YES
north-berwick	North Berwick (West Links)	YES
kingsbarns	Kingsbarns Golf Links	YES
cruden-bay	Cruden Bay Golf Club	NO
machrihanish	Machrihanish Golf Club	YES
machrihanish-dunes	Machrihanish Dunes	NO
castle-stuart	Castle Stuart Golf Links	NO
royal-troon	Royal Troon Golf Club (Old)	YES
royal-county-down	Royal County Down Golf Club (Championship)	YES
royal-portrush-dunluce	Royal Portrush Golf Club (Dunluce)	YES
ballybunion-old	Ballybunion Golf Club (Old)	YES
lahinch	Lahinch Golf Club	YES
portmarnock	Portmarnock Golf Club	YES
european-club	The European Club	YES
royal-st-georges	Royal St George	YES
